gse,title,data_type,score,tier,n_samples,n_young,n_old,age_min_months,age_max_months,sexes,metadata_completeness,sample_types,tissues,cell_types,flags,pubmed_ids,geo_url
GSE252873,Intermittent fasting reduces alpha-synuclein pathology and functional decline in a mouse model of Parkinson’s disease [sham],bulk RNA-seq,42.5,not recommended,9,0,0,,,,0.5,tissue,brain,,no_age;sex_not_reported;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE252873
GSE345471,Compartment-Specific Inhibition of Cytosolic Cathepsin B Mitigates Microglial Senescence in the Aging Brain [AOMK RNA-Seq],bulk RNA-seq,42.5,not recommended,9,0,0,,,,0.5,isolated cells,brain,microglia,no_age;sex_not_reported;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE345471
GSE282544,Immune Checkpoint PD-L1 Modulates Retinal Microglial Activation to Alleviate Vascular Leakage in Choroidal Neovascularization via ERK,bulk RNA-seq,42.5,not recommended,8,0,0,,,,0.5,tissue,retina,,no_age;sex_not_reported;genotype_mixed;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282544
GSE199217,Microglial Piezo1 senses  Aβ fibrils stiffness to restrict Alzheimer’s disease,bulk RNA-seq,42.5,not recommended,6,0,0,,,,0.5,isolated cells,brain,microglia,no_age;sex_not_reported;genotype_mixed;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199217
GSE235076,Microglial apolipoprotein E particles contribute to neuronal senescence and synaptotoxicity,bulk RNA-seq,42.5,not recommended,6,0,0,,,,0.5,isolated cells,hippocampus,neuron,no_age;sex_not_reported;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235076
GSE266053,Immunometabolic dysregulation in microglia drives brain ageing via neuroimmune cGAS-STING,bulk RNA-seq,42.5,not recommended,6,0,0,,,,0.5,cell line,,microglia,no_age;sex_not_reported;cell_line;genotype_mixed;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266053
GSE270941,Repeated exposure to lidocaine induces hippocampal synaptic and cognitive impairment in aged mice by activating microglia and neurotoxic A1astrocytes,bulk RNA-seq,42.5,not recommended,6,3,0,,,,0.5,tissue,hippocampus,,age_inferred;qualitative_age;sex_not_reported;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270941
GSE236805,Dynamics of reactive astrocytes fosters tissue regeneration after cuprizone-induced demyelination [RNA-seq II],bulk RNA-seq,42.5,not recommended,4,0,0,,,,0.5,isolated cells,brain,astrocyte,no_age;sex_not_reported;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236805
GSE212606,A global view of aging and Alzheimer’s pathogenesis-associated cell population dynamics in mammalian brain,single-cell RNA-seq,42.0,not recommended,2,0,0,,,,0.375,tissue,brain,,no_age;sex_not_reported;single_cell;mixed_organisms;multi_assay;few_samples;non_expression_samples,37774676,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212606
GSE226532,Ethanol Induced Cerebellar Transcriptomic Changes in a Postnatal Model of Fetal Alcohol Spectrum Disorders: Focus on Disease Onset,bulk RNA-seq,40.0,not recommended,24,0,0,,,,0.25,tissue,brain,,no_age;sex_not_reported;treatment_present,37008214,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226532
GSE223018,Transcriptional responses to deep cerebellar nuclei (DCN) and entorhinal cortex (EC) protein homogenates in cultured microglia,bulk RNA-seq,40.0,not recommended,12,0,0,,,,0.25,cell line,,microglia,no_age;sex_not_reported;cell_line;treatment_present,37978387,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223018
GSE271791,Intermittent fasting alleviates photoreceptor degeneration and retina inflammation in oxidative stress-induced model of Age-Related Macular Degeneration,bulk RNA-seq,40.0,not recommended,12,0,0,,,,0.25,not stated,,,no_age;sex_not_reported;treatment_present,41034378,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271791
GSE247222,Enhanced meningeal lymphatic drainage ameliorates lipopolysaccharide-induced brain injury in aged mice,bulk RNA-seq,40.0,not recommended,6,0,0,,,,0.25,tissue,brain,,no_age;sex_not_reported;treatment_present,38287311,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247222
GSE216209,GPR34 senses demyelination to promote neuroinflammation and cognition impairment in Alzheimer's disease,bulk RNA-seq,40.0,not recommended,4,0,0,,,,0.25,isolated cells,,microglia,no_age;sex_not_reported;treatment_present,39741193,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216209
GSE285073,Meningeal lymphatics-microglia axis regulates synaptic physiology [acz.vehicle],bulk RNA-seq,40.0,not recommended,2,0,0,,,,0.25,isolated cells,brain,microglia,no_age;sex_not_reported;treatment_present;few_samples,40120575,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285073
GSE165306,Transcriptional signature in microglia associated with Aβ plaque phagocytosis,bulk RNA-seq,39.6,not recommended,82,0,0,,,,0.2409,"iPSC-derived, isolated cells",cerebral cortex,microglia,no_age;sex_not_reported;ipsc_or_organoid;mixed_organisms,34021136,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165306
GSE79374,Single-cell RNAseq of mouse brain tissues across 3 developmental time points,single-cell RNA-seq,39.5,not recommended,333,0,0,,,,0.5,"isolated cells, tissue","cerebral cortex, hippocampus, thalamus","astrocyte, microglia, neuron, oligodendrocyte, oligodendrocyte precursor cell",no_age;sex_not_reported;single_cell;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79374
GSE255329,The retrotransposable element-silencing factor Daxx controls microglia identity and function in the adult brain,single-cell RNA-seq,39.5,not recommended,93,0,0,,,,0.5,"isolated cells, primary culture","brain, cerebral cortex","microglia, neuron",no_age;sex_not_reported;single_cell;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255329
GSE179611,Microglia aging progresses through functional intermediate steps II,single-cell RNA-seq,39.5,not recommended,47,0,0,,,,0.5,isolated cells,,microglia,no_age;sex_not_reported;single_cell;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179611
GSE276607,The retrotransposable element-silencing factor Daxx controls microglia identity and function in the adult brain [RNA-seq],single-cell RNA-seq,39.5,not recommended,30,0,0,,,,0.5,"isolated cells, primary culture",brain,microglia,no_age;sex_not_reported;single_cell;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276607
GSE312503,Characterization of cellular responses of Ptpn6 (SHP-1) cKO in hippocampus by scRNA-seq,single-cell RNA-seq,39.5,not recommended,21,0,0,,,,0.5,tissue,hippocampus,,no_age;sex_not_reported;single_cell;genotype_mixed;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312503
GSE327962,"Effects of CRISPR-mediated knockout of Mitf, Tfe3 and Tfeb on the transcriptome of mouse BMDMs from WT and Grn KO animals [hex001130]",single-cell RNA-seq,39.5,not recommended,16,0,0,,,,0.5,isolated cells,,macrophage,no_age;sex_not_reported;single_cell;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE327962
GSE190007,Microglia aging progresses through functional intermediate steps.,single-cell RNA-seq,39.5,not recommended,8,0,0,,,,0.5,isolated cells,hippocampus,microglia,no_age;sex_not_reported;single_cell;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190007
GSE341988,Sequential pathogen exposure normalizes the brain neuroimmune microenvironment and reveals a tissue-resident memory CD8 T cell-microglia axis shaping adult neurogenesis,single-cell RNA-seq,39.5,not recommended,8,0,0,,,,0.5,tissue,brain,,no_age;sex_not_reported;single_cell;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE341988
GSE254835,Anxiety-like behavior and altered hippocampal activity in a transgenic mouse model of Fabry disease,single-cell RNA-seq,39.5,not recommended,2,0,0,,,,0.5,tissue,hippocampus,,no_age;sex_not_reported;single_cell;genotype_mixed;no_publication;few_samples,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254835
GSE320070,Brain-Engrafted Monocyte-derived Macrophages from Blood and Skull-Bone Marrow Exhibit Distinct Properties [scRNA_DR3X],single-cell RNA-seq,39.5,not recommended,2,0,0,,,,0.5,not stated,,,qualitative_age;sex_not_reported;single_cell;genotype_mixed;treatment_present;no_publication;few_samples;non_expression_samples,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE320070
GSE345470,Compartment-Specific Inhibition of Cytosolic Cathepsin B Mitigates Microglial Senescence in the Aging Brain [MG6MG7PAL RNA-Seq],bulk RNA-seq,37.5,not recommended,12,0,0,,,,0.375,isolated cells,,microglia,no_age;sex_not_reported;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE345470
GSE322681,Spatial transcriptomics reveals molecular mechanisms underlying neuroinflammatory and neurodegenerative sequelae of immune checkpoint inhibition [RNA-Seq],single-cell RNA-seq,37.0,not recommended,20,0,0,,,,0.25,tissue,hippocampus,,no_age;sex_not_reported;single_cell;treatment_present,42327312,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE322681
GSE290806,Spatial and single-cell transcriptomics reveal the reorganization of cerebellar microglia with aging,single-cell RNA-seq,37.0,not recommended,12,0,0,,,,0.25,tissue,cerebellum,,no_age;age_unit_missing;sex_not_reported;single_cell,41307999,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290806
GSE267933,Hippocampal single-cell atlas screening unveils disrupted neuroglial system in postoperative cognitive impairment,single-cell RNA-seq,37.0,not recommended,6,0,0,,,,0.25,tissue,hippocampus,,no_age;sex_not_reported;single_cell,39540334,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267933
GSE310804,Transcriptomic features of GFP+ RPE cells in Serpine-Gfp heterozygous mice at 2 months I,single-cell RNA-seq,37.0,not recommended,6,0,0,,,,0.25,not stated,,,no_age;sex_not_reported;single_cell;genotype_mixed,42412559,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310804
GSE189226,Type I Interferon Signaling Mediates Microglial Dysfunction and Senescence in Human-Mouse Chimeric Brain Models of Down Syndrome and Alzheimer’s Disease [single-cell RNA-seq],single-cell RNA-seq,37.0,not recommended,4,0,0,,,,0.25,isolated cells,brain,microglia,no_age;sex_not_reported;single_cell;treatment_present;mixed_organisms,35803230,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189226
GSE226292,TREM2 inhibition triggers anti-tumor cell activity of myeloid cells in glioblastoma [scRNA],single-cell RNA-seq,37.0,not recommended,4,0,0,,,,0.25,not stated,,,no_age;sex_not_reported;single_cell;treatment_present,37172094,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226292
GSE247435,Schwann cell-specific ablation of Beclin 1 impairs peripheral myelination and leads to a progressive motor and sensory neuropathy,microarray,34.0,not recommended,16,0,0,0.33,2.0,,0.25,not stated,,,age_inferred;sex_not_reported;treatment_present,39680476,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247435
GSE99537,Modulation of Macrophage Subpopulation Response in Radiation-Treated Gliomas Circumvents Tumor Recurrence ,bulk RNA-seq,32.5,not recommended,46,0,0,,,,0.25,isolated cells,bone marrow,"macrophage, microglia",no_age;sex_not_reported;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99537
GSE87531,Effects of aged garlic extract (AGE) and FruArg on lipopolysaccharide-induced genetic response in microglial cells using gene expression profiling,bulk RNA-seq,32.5,not recommended,8,0,0,,,,0.25,cell line,,microglia,no_age;sex_not_reported;cell_line;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87531
GSE245470,Inactivation of Gas6/Axl signaling aggravated Microglia-Astrocyte cross regulation after spinal cord injury,bulk RNA-seq,32.5,not recommended,6,0,0,,,,0.25,tissue,spinal cord,,no_age;sex_not_reported;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE245470
GSE304010,A transcriptomic microglia taxonomy across mouse and human pathologies,single-cell RNA-seq,31.9,not recommended,74,0,0,,,,0.1216,"isolated cells, not stated, tissue","brain, brainstem, cerebellum, cerebral cortex, spinal cord, striatum",,no_age;sex_not_reported;single_cell,41882205,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304010
GSE233983,Spatial transcriptomics of the aging mouse brain reveals origins of inflammation in the white matter,bulk RNA-seq,30.0,not recommended,0,0,0,,,,0.0,tissue,brain,,no_samples_retrieved;multi_assay;non_expression_samples,40185750,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233983
GSE327682,Aging Drives Region-Specific Metabolic Changes in Gut Muscularis Macrophages,single-cell RNA-seq,29.5,not recommended,6,0,0,,,,0.25,not stated,,,age_inferred;qualitative_age;sex_not_reported;single_cell;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE327682
GSE310812,Transcriptomic features of GFP+ RPE cells in Serpine-Gfp heterozygous mice at 2 months III,single-cell RNA-seq,27.0,not recommended,17,0,0,,,,0.0,not stated,,,no_age;sex_not_reported;single_cell;treatment_present,42412559,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310812
GSE243788,snRNA-Seq of optic nerve from two models of inducible demyelination.,single-cell RNA-seq,27.0,not recommended,0,0,0,,,,0.0,tissue,optic nerve,,no_samples_retrieved;single_cell;non_expression_samples,39443516,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243788
GSE289098,"Inflammation associated microglial expansion disrupts hippocampal glial network communication, driving postoperative neurocognitive impairment",single-cell RNA-seq,27.0,not recommended,0,0,0,,,,0.0,,,,no_samples_retrieved;single_cell,41176600,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289098
