gse,title,data_type,score,tier,n_samples,n_young,n_old,age_min_months,age_max_months,sexes,metadata_completeness,sample_types,tissues,cell_types,flags,pubmed_ids,geo_url
GSE227984,Circulating senescent myeloid cells drive blood brain barrier breakdown and neurodegeneration,bulk RNA-seq,50.0,not recommended,6,0,0,,,,0.5,isolated cells,,"macrophage, microglia, monocyte",no_age;sex_not_reported;genotype_mixed,38091952,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227984
GSE246261,Asparagine endopeptidase deficiency mitigates radiation-induced brain injury by suppressing microglia-mediated neuronal senescence,bulk RNA-seq,50.0,not recommended,6,0,0,,,,0.5,tissue,cerebral cortex,,no_age;sex_not_reported;genotype_mixed;treatment_present,38655198,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246261
GSE271559,Tracking changes in functionality and morphology of repopulated microglia in young and old mice [RNA-Seq],bulk RNA-seq,50.0,not recommended,6,0,0,,,,0.5,isolated cells,brain,microglia,no_age;sex_not_reported;genotype_mixed;treatment_present,39363245,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271559
GSE246888,Microglial apolipoprotein E particles contribute to neuronal senescence and synaptotoxicity,bulk RNA-seq,50.0,not recommended,3,0,0,,,,0.5,isolated cells,hippocampus,neuron,no_age;sex_not_reported;treatment_present;few_samples,38868202,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246888
GSE270428,Meningeal lymphatics-microglia axis regulates synaptic physiology [ligation],bulk RNA-seq,50.0,not recommended,2,0,0,,,,0.5,isolated cells,,microglia,no_age;sex_not_reported;treatment_present;few_samples,40120575,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270428
GSE327960,"Transcription profiles of mouse microglia isolated by FACS from WT and Grn KO animals, separated by lipofuscin levels [hex001110]",single-cell RNA-seq,49.5,not recommended,24,0,0,,,"female, male",0.75,isolated cells,brain,microglia,no_age;single_cell;genotype_mixed;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE327960
GSE271192,"Single cell RNA seq analysis of microglia from aged wild-type, NLRP3-/-, APP/PS1 and APP/PS1.NLRP3-/- mice.",single-cell RNA-seq,49.5,not recommended,17,0,0,,,"female, male",0.75,isolated cells,brain,microglia,no_age;single_cell;genotype_mixed;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271192
GSE247173,Cellular rejuvenation protects neurons from inflammation mediated cell death (RNA-seq).,single-cell RNA-seq,49.5,not recommended,14,4,0,1.72,1.72,female,0.75,isolated cells,retina,neuron,single_sex;single_cell;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247173
GSE211340,Microglia aging advances through intermediate states that drive inflammatory activation and cognitive decline,single-cell RNA-seq,49.5,not recommended,6,0,0,6.5,6.5,,0.75,isolated cells,hippocampus,microglia,sex_not_reported;single_cell;genotype_mixed;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211340
GSE282308,Gene expression profiles of brain injury at single cell level from aged mice treated with or without microglial replacement,single-cell RNA-seq,49.5,not recommended,6,0,0,18.0,18.0,,0.75,tissue,brain,,sex_not_reported;single_cell;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282308
GSE205511,Molecular and functional features of synucleinopathy-associated astrocytes,single-cell RNA-seq,49.5,not recommended,4,0,0,7.5,7.5,,0.75,tissue,"cerebral cortex, midbrain",,sex_not_reported;single_cell;genotype_mixed;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205511
GSE272377,Single-cell RNA-seq of sorted microglia from aged Grn KO mice [HEX000661],single-cell RNA-seq,49.5,not recommended,4,0,4,24.0,24.0,,0.75,isolated cells,brain,microglia,sex_not_reported;pooled_samples;single_cell;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272377
GSE324634,Effect of L-PGDS loss on cellular response during cuprizone induced demyelination,single-cell RNA-seq,49.5,not recommended,4,0,0,,,male,0.75,tissue,brain,,no_age;single_sex;single_cell;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE324634
GSE338196,Neuroimmune priming and microglial exhaustion in aged Gulf War Illness mice,single-cell RNA-seq,49.5,not recommended,2,0,0,,,male,0.75,tissue,hippocampus,,no_age;single_sex;single_cell;genotype_mixed;treatment_present;no_publication;few_samples,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE338196
GSE272828,The retrotransposable element-silencing factor Daxx controls microglia identity and function in the adult brain,single-cell RNA-seq,49.5,not recommended,1,1,0,2.76,2.76,,0.75,isolated cells,brain,microglia,sex_not_reported;single_cell;no_publication;few_samples,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272828
GSE109774,Tabula Muris: Transcriptomic characterization of 20 organs and tissues from Mus musculus at single cell resolution,single-cell RNA-seq,49.2,not recommended,46,46,0,3.0,3.0,,0.5543,"isolated cells, not stated, tissue","adipose tissue, bone marrow, brain, heart, kidney, liver, lung, skeletal muscle, skin, spleen","microglia, neuron",sex_not_reported;single_cell,30283141,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109774
GSE3253,Exaggerated neuroinflammation and sickness behavior in aged mice after activation of the peripheral innate immune system,microarray,49.0,not recommended,12,0,6,,,,0.625,tissue,brain,,age_inferred;qualitative_age;sex_not_reported,15919760,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE3253
GSE198531,Dual ontogeny of disease-associated microglia and disease inflammatory macrophages in aging and neurodegeneration,single-cell RNA-seq,47.0,not recommended,1617,83,0,0.23,2.0,,0.5,isolated cells,thalamus,microglia,qualitative_age;sex_not_reported;single_cell,35931085,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198531
GSE198835,Hippocampus and visceral adipose tissues cellular landscape profiling to characterize the effects of obesity-amyloidosis comorbidity [scRNA-seq],single-cell RNA-seq,47.0,not recommended,50,0,0,,,,0.5,tissue,"adipose tissue, hippocampus",,no_age;sex_not_reported;single_cell;treatment_present,36894557,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198835
GSE174265,Neurons burdened by DNA double strand breaks incite microglia activation through antiviral-like signaling in neurodegeneration.,single-cell RNA-seq,47.0,not recommended,39,0,0,,,,0.5,"isolated cells, tissue","brain, cerebral cortex","microglia, neuron",no_age;sex_not_reported;single_cell;multi_assay;non_expression_samples,36170369,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174265
GSE254915,TGF-β signaling mediates microglial resilience to age-dependent dorsal column myelin alterations,single-cell RNA-seq,47.0,not recommended,36,0,0,,,,0.5,isolated cells,,microglia,no_age;sex_not_reported;single_cell;genotype_mixed;treatment_present,41482590,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254915
GSE269748,A single-cell atlas deconstructs heterogeneity across multiple models in murine traumatic brain injury and identifies novel cell-specific targets,single-cell RNA-seq,47.0,not recommended,36,0,0,,,"female, male",0.5,tissue,hippocampus,,no_age;single_cell;treatment_present,39019041,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269748
GSE231604,Microglial MHC-I induction with aging and Alzheimer’s is conserved in mouse models and humans,single-cell RNA-seq,47.0,not recommended,28,0,0,,,,0.5,isolated cells,hippocampus,microglia,no_age;sex_not_reported;single_cell;genotype_mixed,37393197,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231604
GSE201814,Prenatal immune stress blunts microglia reactivity which impairs neurocircuitry [Adult_scRNA-seq],single-cell RNA-seq,47.0,not recommended,18,0,0,,,male,0.5,isolated cells,striatum,microglia,no_age;single_sex;single_cell;treatment_present,36171283,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201814
GSE236032,Microglia-derived TGF-β1 ligand maintains microglia homeostasis via autocrine mechanism and is critical for normal cognitive function in adult mouse brain,single-cell RNA-seq,47.0,not recommended,18,0,0,,,,0.5,isolated cells,brain,"astrocyte, microglia",no_age;sex_not_reported;single_cell;genotype_mixed,37461569;38906887,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236032
GSE295788,Lithium Deficiency and the Onset of Alzheimer’s Disease [3xTG_LiO],single-cell RNA-seq,47.0,not recommended,18,0,0,,,,0.5,tissue,hippocampus,,no_age;sex_not_reported;single_cell;genotype_mixed;treatment_present,40770094,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295788
GSE319875,"Astro- versus microglia-enriched transcriptomes from aged  Atxn2-CAG100-knockin mice suggest underlying pathology of RNA processing at ribosomes, and possibly at U-bodies [panRNAseq]",single-cell RNA-seq,47.0,not recommended,18,0,0,,,,0.5,isolated cells,brain,"astrocyte, microglia, neuron",no_age;sex_not_reported;single_cell;genotype_mixed,42041567,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE319875
GSE252050,Genetic background variation impacts microglial heterogeneity and disease progression in amyotrophic lateral sclerosis model mice,single-cell RNA-seq,47.0,not recommended,16,0,0,,,,0.5,isolated cells,spinal cord,microglia,no_age;sex_not_reported;single_cell;genotype_mixed,38318390,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE252050
GSE275326,Lithium Deficiency and the Onset of Alzheimer’s Disease,single-cell RNA-seq,47.0,not recommended,16,0,0,,,,0.5,tissue,hippocampus,,no_age;sex_not_reported;single_cell;genotype_mixed;treatment_present,40770094,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275326
GSE272344,Lithium Deficiency and the Onset of Alzheimer’s Disease,single-cell RNA-seq,47.0,not recommended,9,0,0,,,,0.5,tissue,hippocampus,,no_age;sex_not_reported;single_cell;genotype_mixed;treatment_present,40770094,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272344
GSE234421,cGAS/STING drives ageing-related inflammation and neurodegeneration IV,single-cell RNA-seq,47.0,not recommended,8,0,0,,,,0.5,isolated cells,hippocampus,microglia,no_age;sex_not_reported;single_cell;genotype_mixed,37532932,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234421
GSE200901,Biological Aging of CNS-Resident Cells Alters the Clinical Course and Immunopathology of Autoimmune Demyelinating Disease,single-cell RNA-seq,47.0,not recommended,6,1,0,,,,0.5,"isolated cells, tissue",spinal cord,microglia,qualitative_age;sex_not_reported;single_cell;treatment_present,35511417,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200901
GSE243018,T cell mediated microglia activation triggers myelin pathology in a model of amyloidosis,single-cell RNA-seq,47.0,not recommended,6,0,0,,,,0.5,tissue,brain,,no_age;sex_not_reported;single_cell;genotype_mixed;treatment_present,38937583,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243018
GSE286095,"Loss of ATG7 in Microglia Impairs UPR, Triggers Ferroptosis and Weakens Amyloid Pathology Control [bulk RNA-seq]",single-cell RNA-seq,47.0,not recommended,6,0,0,,,female,0.5,isolated cells,brain,microglia,no_age;single_sex;single_cell,39945772,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286095
GSE234419,cGAS/STING drives ageing-related inflammation and neurodegeneration II,single-cell RNA-seq,47.0,not recommended,5,0,0,,,,0.5,isolated cells,hippocampus,microglia,no_age;sex_not_reported;single_cell;genotype_mixed,37532932,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234419
GSE168737,A survey of the mouse hindbrain in the fed and fasted state using single-nucleus RNA sequencing.,single-cell RNA-seq,47.0,not recommended,4,0,0,1.61,1.61,,0.5,not stated,,,sex_not_reported;single_cell;treatment_present,33962048,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168737
GSE199574,scRNAseq from WT and PRMT1-KO microglia,single-cell RNA-seq,47.0,not recommended,4,0,0,,,,0.5,isolated cells,,microglia,no_age;sex_not_reported;single_cell;genotype_mixed;treatment_present,35705491,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199574
GSE223394,Endothelial Cell Senescence Stimulates Amyloid-β Phagocytosis and Barrier Function of Microglia Leading to Attenuation of Cognitive Impairment in the APPswe/PS1dE9 Mouse Model of Alzheimer’s Disease,single-cell RNA-seq,47.0,not recommended,4,0,0,,,,0.5,isolated cells,brain,microglia,no_age;sex_not_reported;single_cell;genotype_mixed,37610154,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223394
GSE266876,Single-cell m6A profiling in the mouse brain uncovers cell type-specific RNA methylomes and age-dependent differential methylation,single-cell RNA-seq,47.0,not recommended,4,0,0,,,,0.5,tissue,cerebral cortex,,no_age;sex_not_reported;single_cell;genotype_mixed;treatment_present,39317796,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266876
