gsm,title,source_name,organism,molecule,library_strategy,library_source,is_expression,age_raw,age_value,age_unit,age_months,age_stage,age_group,age_rule,age_source,age_flags,sex_raw,sex,sex_rule,sex_source,tissue_raw,tissue,tissue_ontology,cell_type_raw,cell_type,cell_type_ontology,cell_line,sample_type,strain_raw,strain,genotype_raw,genotype_is_control,treatment_raw,treatment_is_control,treatment_source,is_pooled,is_cell_level,series_ids
GSM1361731,3.SIRT1 young,SIRT1 young,Mus musculus,total RNA,,,True,young,,,,,young,qualitative,field,qualitative,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,SIRT1F/F,False,,,,False,False,GSE56452
GSM1361732,1.LysM young,LysM young,Mus musculus,total RNA,,,True,young,,,,,young,qualitative,field,qualitative,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,LysM-Cre/SIRT1F/F,False,,,,False,False,GSE56452
GSM1361733,2.LysM young,LysM young,Mus musculus,total RNA,,,True,young,,,,,young,qualitative,field,qualitative,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,LysM-Cre/SIRT1F/F,False,,,,False,False,GSE56452
GSM1361734,3.LysM young,LysM young,Mus musculus,total RNA,,,True,young,,,,,young,qualitative,field,qualitative,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,LysM-Cre/SIRT1F/F,False,,,,False,False,GSE56452
GSM1361735,1.SIRT1 old,SIRT1 old,Mus musculus,total RNA,,,True,old,,,,,old,qualitative,field,qualitative,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,SIRT1F/F,False,,,,False,False,GSE56452
GSM1361736,2.SIRT1 old,SIRT1 old,Mus musculus,total RNA,,,True,old,,,,,old,qualitative,field,qualitative,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,SIRT1F/F,False,,,,False,False,GSE56452
GSM1361737,3.SIRT1 old,SIRT1 old,Mus musculus,total RNA,,,True,old,,,,,old,qualitative,field,qualitative,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,SIRT1F/F,False,,,,False,False,GSE56452
GSM1361738,1.LysM old,LysM old,Mus musculus,total RNA,,,True,old,,,,,old,qualitative,field,qualitative,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,LysM-Cre/SIRT1F/F,False,,,,False,False,GSE56452
GSM1361739,2.LysM old,LysM old,Mus musculus,total RNA,,,True,old,,,,,old,qualitative,field,qualitative,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,LysM-Cre/SIRT1F/F,False,,,,False,False,GSE56452
GSM1361740,3.LysM old,LysM old,Mus musculus,total RNA,,,True,old,,,,,old,qualitative,field,qualitative,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,LysM-Cre/SIRT1F/F,False,,,,False,False,GSE56452
GSM1361741,1.TAU,TAU,Mus musculus,total RNA,,,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,TAU,False,,,,False,False,GSE56452
GSM1361742,2.TAU,TAU,Mus musculus,total RNA,,,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,TAU,False,,,,False,False,GSE56452
GSM1361743,1.TAU/LysM,TAU/LysM,Mus musculus,total RNA,,,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,TAU/LysM,False,,,,False,False,GSE56452
GSM1361744,2.TAU/LysM,TAU/LysM,Mus musculus,total RNA,,,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,BL6 and 129/Sv,129,TAU/LysM,False,,,,False,False,GSE56452
GSM1477551,SAMR1_Astrocytes_AdLib_Diet_ Replicate_1,SAMR1_Astrocytes_AdLib_diet,Mus musculus,total RNA,,,True,2 days,2.0,days,0.07,,developmental,number_with_unit,field,,,,,,cerebral cortical tissue,cerebral cortex,UBERON:0000956,Primary astrocyte cultures,astrocyte,CL:0000127,,isolated cells,senescence-resistant 1 (SAMR1) control mouse,SAMR1,,,10% Rat serum subjected to an AdLib Diet for 48hrs,False,field,False,False,GSE60388
GSM1477552,SAMR1_Astrocytes_CR_Diet_ Replicate_1,SAMR1_Astrocytes_CR_diet,Mus musculus,total RNA,,,True,2 days,2.0,days,0.07,,developmental,number_with_unit,field,,,,,,cerebral cortical tissue,cerebral cortex,UBERON:0000956,Primary astrocyte cultures,astrocyte,CL:0000127,,isolated cells,senescence-resistant 1 (SAMR1) control mouse,SAMR1,,,10% Rat serum subjected to an CR Diet for 48hrs,False,field,False,False,GSE60388
GSM1477553,SAMR1_Astrocytes_AdLib_Diet_ Replicate_2,SAMR1_Astrocytes_AdLib_diet,Mus musculus,total RNA,,,True,2 days,2.0,days,0.07,,developmental,number_with_unit,field,,,,,,cerebral cortical tissue,cerebral cortex,UBERON:0000956,Primary astrocyte cultures,astrocyte,CL:0000127,,isolated cells,senescence-resistant 1 (SAMR1) control mouse,SAMR1,,,10% Rat serum subjected to an AdLib Diet for 48hrs,False,field,False,False,GSE60388
GSM1477554,SAMR1_Astrocytes_CR_Diet_ Replicate_2,SAMR1_Astrocytes_CR_diet,Mus musculus,total RNA,,,True,2 days,2.0,days,0.07,,developmental,number_with_unit,field,,,,,,cerebral cortical tissue,cerebral cortex,UBERON:0000956,Primary astrocyte cultures,astrocyte,CL:0000127,,isolated cells,senescence-resistant 1 (SAMR1) control mouse,SAMR1,,,10% Rat serum subjected to an CR Diet for 48hrs,False,field,False,False,GSE60388
GSM1477555,SAMR1_Astrocytes_AdLib_Diet_ Replicate_3,SAMR1_Astrocytes_AdLib_diet,Mus musculus,total RNA,,,True,2 days,2.0,days,0.07,,developmental,number_with_unit,field,,,,,,cerebral cortical tissue,cerebral cortex,UBERON:0000956,Primary astrocyte cultures,astrocyte,CL:0000127,,isolated cells,senescence-resistant 1 (SAMR1) control mouse,SAMR1,,,10% Rat serum subjected to an AdLib Diet for 48hrs,False,field,False,False,GSE60388
GSM1477556,SAMR1_Astrocytes_CR_Diet_ Replicate_3,SAMR1_Astrocytes_CR_diet,Mus musculus,total RNA,,,True,2 days,2.0,days,0.07,,developmental,number_with_unit,field,,,,,,cerebral cortical tissue,cerebral cortex,UBERON:0000956,Primary astrocyte cultures,astrocyte,CL:0000127,,isolated cells,senescence-resistant 1 (SAMR1) control mouse,SAMR1,,,10% Rat serum subjected to an CR Diet for 48hrs,False,field,False,False,GSE60388
GSM1477557,SAMP8_Astrocytes_AdLib_Diet_ Replicate_1,SAMP8_Astrocytes_AdLib_diet,Mus musculus,total RNA,,,True,2 days,2.0,days,0.07,,developmental,number_with_unit,field,,,,,,cerebral cortical tissue,cerebral cortex,UBERON:0000956,Primary astrocyte cultures,astrocyte,CL:0000127,,isolated cells,senescence-accelerated prone 8 (SAMP8) mouse,SAMP8,,,10% Rat serum subjected to an AdLib Diet for 48hrs,False,field,False,False,GSE60388
GSM1477558,SAMP8_Astrocytes_CR_Diet_ Replicate_1,SAMP8_Astrocytes_CR_diet,Mus musculus,total RNA,,,True,2 days,2.0,days,0.07,,developmental,number_with_unit,field,,,,,,cerebral cortical tissue,cerebral cortex,UBERON:0000956,Primary astrocyte cultures,astrocyte,CL:0000127,,isolated cells,senescence-accelerated prone 8 (SAMP8) mouse,SAMP8,,,10% Rat serum subjected to an CR Diet for 48hrs,False,field,False,False,GSE60388
GSM1477559,SAMP8_Astrocytes_AdLib_Diet_ Replicate_2,SAMP8_Astrocytes_AdLib_diet,Mus musculus,total RNA,,,True,2 days,2.0,days,0.07,,developmental,number_with_unit,field,,,,,,cerebral cortical tissue,cerebral cortex,UBERON:0000956,Primary astrocyte cultures,astrocyte,CL:0000127,,isolated cells,senescence-accelerated prone 8 (SAMP8) mouse,SAMP8,,,10% Rat serum subjected to an AdLib Diet for 48hrs,False,field,False,False,GSE60388
GSM1477560,SAMP8_Astrocytes_CR_Diet_ Replicate_2,SAMP8_Astrocytes_CR_diet,Mus musculus,total RNA,,,True,2 days,2.0,days,0.07,,developmental,number_with_unit,field,,,,,,cerebral cortical tissue,cerebral cortex,UBERON:0000956,Primary astrocyte cultures,astrocyte,CL:0000127,,isolated cells,senescence-accelerated prone 8 (SAMP8) mouse,SAMP8,,,10% Rat serum subjected to an CR Diet for 48hrs,False,field,False,False,GSE60388
GSM1477561,SAMP8_Astrocytes_AdLib_Diet_ Replicate_3,SAMP8_Astrocytes_AdLib_diet,Mus musculus,total RNA,,,True,2 days,2.0,days,0.07,,developmental,number_with_unit,field,,,,,,cerebral cortical tissue,cerebral cortex,UBERON:0000956,Primary astrocyte cultures,astrocyte,CL:0000127,,isolated cells,senescence-accelerated prone 8 (SAMP8) mouse,SAMP8,,,10% Rat serum subjected to an AdLib Diet for 48hrs,False,field,False,False,GSE60388
