gse,title,organism,data_type,published,in_scope,exclusion_reason,fetch_error,score,tier,geo_url
GSE239999,An Exhausted-Like Microglial Population Accumulates in Aged and APOE4 Genotype Alzheimer’s Brains,Mus musculus,bulk RNA-seq,2023-12-29,False,SuperSeries (its SubSeries are assessed on their own),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239999
GSE243750,SEX-DEPENDENT APOE4 NEUTROPHIL-MICROGLIA INTERACTIONS DRIVE COGNITIVE IMPAIRMENT IN ALZHEIMER'S DISEASE,Homo sapiens; Mus musculus,bulk RNA-seq,2024-06-04,False,SuperSeries (its SubSeries are assessed on their own),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243750
GSE246702,Cellular rejuvenation protects neurons from inflammation mediated cell death (ATAC-seq).,Mus musculus,chromatin profiling,2025-01-01,False,data type out of scope (chromatin profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246702
GSE253710,Respiratory infection with influenza A virus delays remyelination and alters oligodendrocyte metabolism.,Mus musculus,other,2024-08-14,False,data type out of scope (other),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253710
GSE254229,ALS/FTD-linked TBK1 deficiency in microglia induces an aged-like microglial signature and drives social recognition deficits in mice,Mus musculus,bulk RNA-seq,2025-07-09,False,SuperSeries (its SubSeries are assessed on their own),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254229
GSE254472,4E-BP1-dependent translation in microglia controls mechanical hypersensitivity,Mus musculus,other,2024-01-31,False,data type out of scope (other),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254472
GSE267028,The retrotransposable element-silencing factor Daxx controls microglia identity and function in the adult brain [ATAC-seq],Mus musculus,chromatin profiling,2026-06-22,False,data type out of scope (chromatin profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267028
GSE267234,Single-cell m6A profiling in the mouse brain uncovers cell type-specific RNA methylomes and age-dependent differential methylation [neuronuclei],Mus musculus,methylation profiling,2024-09-24,False,data type out of scope (methylation profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267234
GSE267627,Single-cell m6A profiling in the mouse brain uncovers cell type-specific RNA methylomes and age-dependent differential methylation [GLORI],Mus musculus,methylation profiling,2024-09-24,False,data type out of scope (methylation profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267627
GSE268492,Senescent-like microglia limit remyelination through the senescence associated secretory phenotype,Mus musculus; synthetic construct,other,2025-02-03,False,data type out of scope (other),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268492
