gse,title,organism,data_type,published,in_scope,exclusion_reason,fetch_error,score,tier,geo_url
GSE118989,KCNH2-3.1 mediates aberrant complement activation to impair hippocampal-medial prefrontal pathway associated with schizophrenia,Mus musculus,bulk RNA-seq,2019-08-23,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118989
GSE131283,RNA-seq of different brain tissue areas of Trrap conditional knockout Mus musculus,Mus musculus,bulk RNA-seq,2021-02-17,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131283
GSE134031,TREM2 regulates microglial lipid metabolism during aging in mice [RNA-Seq],Mus musculus,bulk RNA-seq,2019-12-21,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134031
GSE139542,RNA-seq of lipid droplet-low and lipid droplet-rich microglia isolated from the hippocampi of aged mice,Mus musculus,bulk RNA-seq,2019-10-30,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139542
GSE139946,RNA-seq of lipid droplet-low and lipid droplet-rich microglia isolated from the hippocampi of LPS-treated young mice,Mus musculus,bulk RNA-seq,2019-11-06,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139946
GSE140009,RNA-seq of lipid droplet-low and lipid droplet-rich microglia isolated from the hippocampi of Progranulin KO mice,Mus musculus,bulk RNA-seq,2019-11-07,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140009
GSE156542,Loss of TDP-43 in astrocytes leads to motor deficits by triggering A1-like reactive phenotype and tri-glial dysfunctions,Mus musculus,bulk RNA-seq,2020-11-01,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156542
GSE163725,"Aging-associated deficit in CCR7 is linked to worsened glymphatic function, cognition and amyloid beta pathology",Mus musculus,bulk RNA-seq,2021-03-22,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163725
GSE165105,Loss of Tmem106b leads to cerebellum Purkinje cell death and motor deficits,Mus musculus,bulk RNA-seq,2021-01-20,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165105
GSE168754,Age-associated suppression of exploratory activity during sickness is linked to meningeal lymphatic dysfunction and microglia activation [aged],Mus musculus,bulk RNA-seq,2022-06-12,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168754
GSE168755,Age-associated suppression of exploratory activity during sickness is linked to meningeal lymphatic dysfunction and microglia activation [ablation],Mus musculus,bulk RNA-seq,2022-06-12,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168755
GSE241574,Reproducible specificity and efficiency of tamoxifen-mediated cre induction across ages,Mus musculus,bulk RNA-seq,2023-12-14,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241574
GSE242751,Functional Interaction between APOE4 and mutant APP promotes cerebrovascular changes in young animals,Mus musculus,bulk RNA-seq,2024-04-30,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242751
GSE273083,"Transcriptomic profiling of mouse brain in PGRN KO, NesGrnOE-KOBG, EGFL7-PGRNdko and floxed control mice (Grnflfl)",Mus musculus,bulk RNA-seq,2026-03-11,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273083
GSE288261,A Novel Microglia-Specific Transcriptional Signatures Correlates with Behavioural Deficits in Neuropsychiatric Lupus (NP-SLE),Mus musculus,bulk RNA-seq,2025-02-02,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288261
GSE297917,Youth-associated protein TIMP2 regulates microglial state and function in healthy and aged mice [Bulk RNA-seq],Mus musculus,bulk RNA-seq,2026-06-01,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE297917
GSE309108,"Transcriptomic and proteomic insights into progressive myoclonus epilepsy, EPM1",Mus musculus,bulk RNA-seq,2026-03-05,True,,,70.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309108
GSE17423,Age-related para-inflammation in the neuroretina of the mouse,Mus musculus,microarray,2010-01-01,True,,,69.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17423
GSE207955,Gene expression profiles in the hippocampus of the Rp58 hetero-KO and the control wild-type mice in adulthood and old age.,Mus musculus,microarray,2022-07-16,True,,,69.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207955
GSE121654,"Complex cell-state changes revealed by single cell RNA sequencing of 76,149 microglia throughout the mouse lifespan and in the injured brain",Mus musculus,single-cell RNA-seq,2018-10-24,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121654
GSE154181,Single-nucleus RNA-seq reveals dysregulation of striatal cell identity due to Huntington’s disease mutations,Mus musculus,single-cell RNA-seq,2020-07-11,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154181
GSE156183,Prior activation state shapes the microglia response to anti-human TREM2 in a mouse model of Alzheimer's disease,Mus musculus,single-cell RNA-seq,2020-12-08,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156183
GSE164674,C9orf72 deficiency promotes microglial mediated synaptic loss in aging and amyloid accumulation [scRNA-seq],Mus musculus,single-cell RNA-seq,2022-06-15,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164674
GSE188283,Parenchymal border macrophages regulate CSF flow dynamics [brain],Mus musculus,single-cell RNA-seq,2022-08-31,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188283
GSE198014,Microglial NF-κB drives tau spreading and toxicity in a mouse model of tauopathy [snRNA-Seq],Mus musculus,single-cell RNA-seq,2022-03-10,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198014
GSE200642,Integrative single cell and spatial transcriptomic analysis reveal reciprocal microglia-plasma cell crosstalk in the mouse brain during chronic Trypanosoma brucei infection,Mus musculus,single-cell RNA-seq,2022-08-29,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200642
GSE206114,Parenchymal border macrophages regulate CSF flow dynamics [5xFAD],Mus musculus,single-cell RNA-seq,2022-08-31,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206114
GSE206115,Parenchymal border macrophages regulate CSF flow dynamics [CLO depletion],Mus musculus,single-cell RNA-seq,2022-08-31,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206115
GSE215440,Microglia regulate myelin growth and integrity in the central nervous system,Mus musculus,single-cell RNA-seq,2022-10-16,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215440
GSE226286,scRNA-seq of brain cells from control and 3xDR mouse brains,Mus musculus,single-cell RNA-seq,2023-07-25,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226286
GSE230480,Microglia response upon demyelinating injury [snRNA-seq],Mus musculus,single-cell RNA-seq,2024-07-24,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230480
GSE254104,Alzheimer’s disease-linked risk alleles elevate microglial cGAS-associated senescence and neurodegeneration in a tauopathy model [snRNAseq],Mus musculus,single-cell RNA-seq,2024-08-21,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254104
GSE261494,Ifi27l2a regulates the microglial inflammation in the context of aging and stroke,Mus musculus,single-cell RNA-seq,2025-01-09,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261494
GSE263191,Chronic Cerebral Hypoperfusion Induces Pathological Venous Remodeling via EPAS1 Regulation,Mus musculus,single-cell RNA-seq,2025-05-27,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263191
GSE297916,Youth-associated protein TIMP2 regulates microglial state and function in healthy and aged mice [snRNA-seq],Mus musculus,single-cell RNA-seq,2026-06-01,True,,,67.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE297916
GSE145454,Ubiquitin ligase COP1 suppresses microglia-mediated inflammation ,Mus musculus,bulk RNA-seq,2020-08-14,True,,,66.7,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145454
GSE282130,Tlr7 Drives Sex Differences in Age- and AD-related Demyelination [bulk RNAseq],Mus musculus,bulk RNA-seq,2024-11-29,True,,,66.4,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282130
GSE250280,Opposing role of phagocytic receptors MERTK and AXL in Progranulin deficient FTD,Homo sapiens; Mus musculus,bulk RNA-seq,2025-06-30,True,,,66.2,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250280
GSE270383,Spatial Mapping of Mouse Brain Aging through Indexed Sequencing,Mus musculus,single-cell RNA-seq,2024-09-12,True,,,65.5,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270383
GSE151459,P16 positive microglia population identified in the aged mouse brain ,Mus musculus,single-cell RNA-seq,2021-10-14,True,,,65.3,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151459
GSE267545,Microglia protect against age-associated brain pathologies,Mus musculus,single-cell RNA-seq,2024-05-22,True,,,65.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267545
GSE179358,Microglia aging progresses through functional intermediate steps,Mus musculus,single-cell RNA-seq,2024-07-04,True,,,64.5,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179358
GSE310666,The Role of Supraoptic Hypothalamic Arginine Vasopressin Neurons in Aging-Associated Water Balance and Thermoregulatory Deficits,Mus musculus,single-cell RNA-seq,2026-05-28,True,,,64.5,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310666
GSE108595,Expression data from sorted humanized TREM2 murine microglia,Mus musculus,microarray,2017-12-29,True,,,64.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE108595
GSE108825,Abnormal microglia and enhanced inflammation-related gene transcription in mice with conditional deletion of Ctcf in Camk2a-Cre-expressing neurons [Whole_HC_CTCF],Mus musculus,microarray,2018-01-05,True,,,64.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE108825
GSE108826,Abnormal microglia and enhanced inflammation-related gene transcription in mice with conditional deletion of Ctcf in Camk2a-Cre-expressing neurons [RPL_HC_CTCF],Mus musculus,microarray,2018-01-05,True,,,64.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE108826
GSE227606,"Transcriptional regulation of microglia priming by IRF7, IRF9 and SMAD3 in accelerated aging mice [RNA-seq]",Mus musculus,bulk RNA-seq,2024-12-31,True,,,62.5,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227606
GSE213020,A Cre-deleter specific for embryo-derived brain macrophages reveals distinct features of microglia and border macrophages,Mus musculus,single-cell RNA-seq,2023-02-02,True,,,61.7,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213020
GSE104182,Functional aspects of meningeal lymphatics in ageing and Alzheimer's disease [2 of 3],Mus musculus,bulk RNA-seq,2018-08-03,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104182
GSE109297,The Effect of TLR2 Activation on  Transcriptome of IFN-induced Microglia,Mus musculus,bulk RNA-seq,2018-09-25,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109297
GSE113351,Functional aspects of meningeal lymphatics in ageing and Alzheimer's disease [3 of 3],Mus musculus,bulk RNA-seq,2018-08-03,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE113351
GSE116613,TBK1 suppresses RIPK1-driven apoptosis and inflammation during development and in aging,Mus musculus,bulk RNA-seq,2018-07-04,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116613
GSE127543,RNA-seq of microglia isolated from aged mice treated with IgG or anti-CD22.,Mus musculus,bulk RNA-seq,2019-03-01,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127543
GSE129000,Aging-exacerbated demyelinating injury is associated with microglia-derived reactive oxygen species: alleviation by indapamide,Mus musculus,bulk RNA-seq,2019-03-29,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129000
GSE131213,RNA-seq of murine primary adult stem cells of Trrap inducible knockout Mus musculus with and without 4-OHT treatment,Mus musculus,bulk RNA-seq,2021-02-17,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131213
GSE137028,Transcriptomic profiling of microglia and astrocytes throughout aging,Mus musculus,bulk RNA-seq,2020-04-17,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137028
GSE145446,Long term effects of COP1 deletion in microglia in vivo,Mus musculus,bulk RNA-seq,2020-08-14,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145446
GSE149661,CD8+ T-cells infiltrate Alzheimer’s disease brains and regulate neuronal- and synapse-related gene expression in APP-PS1 transgenic mice,Mus musculus,bulk RNA-seq,2020-06-22,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149661
GSE153331,Glial Reactivity and Cognitive Decline Follow Chronic Heterochromatin Loss in Neurons,Mus musculus,bulk RNA-seq,2024-01-10,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153331
GSE163055,Age and dietary fiber effect on mouse brain cells,Mus musculus,bulk RNA-seq,2021-06-01,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163055
GSE164675,C9orf72 deficiency promotes microglial mediated synaptic loss in aging and amyloid accumulation [bulk RNA-seq],Mus musculus,bulk RNA-seq,2022-06-15,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164675
GSE168137,Systematic Phenotyping and Characterization of the 5xFAD mouse model of Alzheimer’s Disease,Mus musculus,bulk RNA-seq,2021-03-04,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168137
GSE168428,"Identification and drug-induced reversion of molecular signatures of Alzheimer´s disease onset and progression in AppNL-G-F, AppNL-F and 3xTg-AD mouse models (RNA-seq: WT/3xTg)",Mus musculus,bulk RNA-seq,2021-09-03,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168428
GSE169216,Long-term Glatiramer Acetate Treatment Induces Subtle Changes in Microglial Transcriptome,Mus musculus,bulk RNA-seq,2021-08-27,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169216
GSE173254,Young blood-derived platelet factors abate inflammation and rescue recognition in aging.,Mus musculus,bulk RNA-seq,2023-06-20,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173254
GSE184573,CSN5 deletion in oligodendrocytes causes senescence-induced inflammation and neurodegeneration,Mus musculus,bulk RNA-seq,2022-02-09,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184573
GSE190486,Molecular and cognitive signatures of ageing partially restored through synthetic delivery of IL2 to the brain,Mus musculus,bulk RNA-seq,2022-07-01,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190486
GSE192964,Autophagy restricts senescence and enables microglia to engage amyloid plagues in neuroprotection,Mus musculus,bulk RNA-seq,2023-04-24,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE192964
GSE196737,Microglia renewal in old mice enhances the cellular fitness to cope with stroke,Mus musculus,bulk RNA-seq,2022-11-29,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196737
GSE214514,Microglial gene expression in Bmal1 cKO and WT mice,Mus musculus,bulk RNA-seq,2023-03-01,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214514
GSE215410,SIRT1 activation attenuates microglia-mediated synaptic engulfment in postoperative cognitive,Mus musculus,bulk RNA-seq,2022-12-09,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215410
GSE236627,Multi-omic profiling of Müller cells in diabetic retinopathy identifies the glucocorticoid receptor as a master regulator of the gliotic response,Mus musculus,bulk RNA-seq,2024-01-25,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236627
GSE243746,SEX-DEPENDENT APOE4 NEUTROPHIL-MICROGLIA INTERACTIONS DRIVE COGNITIVE IMPAIRMENT IN ALZHEIMER'S DISEASE [Microglia_IL17RA],Mus musculus,bulk RNA-seq,2024-06-04,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243746
GSE243747,SEX-DEPENDENT APOE4 NEUTROPHIL-MICROGLIA INTERACTIONS DRIVE COGNITIVE IMPAIRMENT IN ALZHEIMER'S DISEASE [Mouse_Microglia_APOE3_4],Mus musculus,bulk RNA-seq,2024-06-04,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243747
GSE243748,SEX-DEPENDENT APOE4 NEUTROPHIL-MICROGLIA INTERACTIONS DRIVE COGNITIVE IMPAIRMENT IN ALZHEIMER'S DISEASE [Mouse_Neutro_Spleen_APOE3_4],Mus musculus,bulk RNA-seq,2024-06-04,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243748
GSE243749,SEX-DEPENDENT APOE4 NEUTROPHIL-MICROGLIA INTERACTIONS DRIVE COGNITIVE IMPAIRMENT IN ALZHEIMER'S DISEASE [Neutrophils_Spleen_Brain_E3_E4],Mus musculus,bulk RNA-seq,2024-06-04,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243749
GSE254103,Alzheimer’s disease-linked risk alleles elevate microglial cGAS-associated senescence and neurodegeneration in a tauopathy model [bulk_RNAseq],Mus musculus,bulk RNA-seq,2024-08-21,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254103
GSE254228,ALS/FTD-linked TBK1 deficiency in microglia induces an aged-like microglial signature and drives social recognition deficits [Microdissected_Motor Neurons],Mus musculus,bulk RNA-seq,2025-07-09,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254228
GSE254233,BHLHE40/41 regulate microglia and peripheral macrophage responses associated with Alzheimer’s disease and other disorders of lipid-rich tissues,Mus musculus,bulk RNA-seq,2024-01-29,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254233
GSE261906,An aging-sensitive compensatory neuroprotective factor that confers cognitive resilience,Mus musculus,bulk RNA-seq,2026-08-10,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261906
GSE262426,Insulin resistance alters cortical inhibitory neurons and microglia to exacerbate Alzheimer’s knock-in mouse phenotypes ,Mus musculus,bulk RNA-seq,2025-11-01,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE262426
GSE266332,Characterization of the ocular inflammatory response to AAV reveals divergence by sex and age,Mus musculus,bulk RNA-seq,2025-01-29,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266332
GSE269239,Mitochondrial respiration in microglia is essential for response to demyelinating injury but not proliferation,Mus musculus,bulk RNA-seq,2024-06-10,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269239
GSE272069,The impact of inactivation of the GH/IGF axis during aging on healthspan,Mus musculus,bulk RNA-seq,2025-06-25,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272069
GSE272765,Novel roles for the ectoenzyme CD38 in the maintenance of transcriptional and metabolic homeostasis in astrocytes,Mus musculus,bulk RNA-seq,2025-12-30,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272765
GSE287770,Simultaneous profiling of native-state proteomes and transcriptomes of neural cell types using proximity labeling,Homo sapiens; Mus musculus,bulk RNA-seq,2026-02-16,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287770
GSE294816,p16-expressing microglia and endothelial cells promote tauopathy and neurovascular abnormalities in PS19 mice,Mus musculus,bulk RNA-seq,2025-04-30,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294816
GSE298240,Inhibition of p38 MAPK after repetitive mild TBI ameliorates immune signaling and behavioral deficit,Mus musculus,bulk RNA-seq,2026-03-18,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE298240
GSE309404,Antagonizing Il10 and Il4 signaling via intracerebral decoy receptor expression attenuates Aβ accumulation,Mus musculus,bulk RNA-seq,2025-10-01,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309404
GSE66211,Mecp2: an unexpected regulator of macrophage gene expression and function [RNA-Seq],Mus musculus,bulk RNA-seq,2015-03-31,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66211
GSE77471,Gamma oscillations attenuate amyloid pathology and trigger a protective microglia response in a mouse model of Alzheimer's disease,Mus musculus,bulk RNA-seq,2016-12-07,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77471
GSE78747,"GRN knockout, sorted brain cells",Mus musculus,bulk RNA-seq,2017-07-06,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78747
GSE79252,Microglia  self-renewal comprises context-dependent random or clonal expansion.,Mus musculus,bulk RNA-seq,2017-03-27,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79252
GSE81230,RNAseq of microglia from Rab7 Mutants & Control and Wild-Type mice,Mus musculus,bulk RNA-seq,2016-06-07,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81230
GSE89482,Gene Expression in Cx3cr1-GFP+ Cells in PS2APP Alzheimer's Disease mice,Mus musculus,bulk RNA-seq,2017-12-20,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE89482
GSE93824,Role of Microglial C5aR1 in the Arctic Alzheimer’s Disease Mouse Model,Mus musculus,bulk RNA-seq,2017-10-10,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93824
GSE94042,Microglial repopulation rewires and rejuvenates the aged brain,Mus musculus,bulk RNA-seq,2018-10-03,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94042
GSE98142,Differential impact of Dicer deficiency on microglia of the developing and adult brain (Bulk RNA-Seq),Mus musculus,bulk RNA-seq,2017-06-20,True,,,60.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98142
GSE201652,single cell RNA sequencing of sham and 3 dpi spinal cords in mice,Mus musculus,single-cell RNA-seq,2022-04-30,True,,,59.5,not recommended,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201652
GSE250277,Cholesterol 25-hydroxylase mediates neuroinflammation and neurodegeneration in a mouse model of tauopathy,Mus musculus,single-cell RNA-seq,2024-02-23,True,,,59.5,not recommended,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250277
GSE285471,APOE genotype modifies the gene signature of microglial and astrocytic responses to aging,Mus musculus,single-cell RNA-seq,2026-08-08,True,,,59.5,not recommended,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285471
GSE293040,"Single-cell transcriptome analysis of wildtype, TREM2 knockout, GPR34 knock-out or TREM2/GPR34 double knock-out primary microglia from wildtype and APP knock-in mice (4 months)",Mus musculus,single-cell RNA-seq,2026-07-21,True,,,59.5,not recommended,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293040
GSE293041,"Single-cell transcriptome analysis of wildtype, TREM2 knockout, GPR34 knock-out or TREM2/GPR34 double knock-out primary microglia from wildtype and APP knock-in mice (8 months)",Mus musculus,single-cell RNA-seq,2026-07-21,True,,,59.5,not recommended,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293041
GSE293116,"Single-cell transcriptome analysis of wildtype, TREM2 knockout, GPR34 knock-out or TREM2/GPR34 double knock-out primary microglia from wildtype and APP knock-in mice (17 months)",Mus musculus,single-cell RNA-seq,2026-07-21,True,,,59.5,not recommended,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293116
GSE261698,A glial circadian gene expression atlas reveals cell type and disease-specific reprogramming in response to amyloid pathology or aging,Mus musculus,single-cell RNA-seq,2024-06-26,True,,,58.2,not recommended,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261698
GSE198013,Microglial NF-κB drives tau spreading and toxicity in a mouse model of tauopathy [bulk RNA-Seq],Mus musculus,single-cell RNA-seq,2022-03-10,True,,,58.0,not recommended,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198013
GSE315101,Soluble DLK1 secreted by telomere-shortening-induced senescent microglia impairs oligodendrocyte functions and alters neuronal activity [DLK1_snRNA-seq],Homo sapiens; Mus musculus,single-cell RNA-seq,2026-07-09,True,,,57.3,not recommended,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315101
GSE127884,"The major risk factors for Alzheimer’s disease: Age, Sex and Genes, modulate the microglia response to Aβ plaques (CDEP)",Mus musculus,single-cell RNA-seq,2019-04-23,True,,,57.0,not recommended,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127884
GSE127892,"The major risk factors for Alzheimer’s disease: Age, Sex and Genes, modulate the microglia response to Aβ plaques (KW)",Mus musculus,single-cell RNA-seq,2019-04-23,True,,,57.0,not recommended,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127892
